temps (s);speed (m/s);power_shaft (W);fuel_cumul (m^3);fuel_consom_cumul (litre)
152.0;0.0;0.0;-0.0011412459720730383;1.1412459720730384
153.0;0.0;0.0;-0.0011487050960735158;1.1487050960735157
154.0;0.0;0.0;-0.0011561642200739932;1.1561642200739932
155.0;0.0;0.0;-0.0011636233440744707;1.1636233440744705
156.0;0.0;0.0;-0.001171082468074948;1.171082468074948
157.0;0.0;0.0;-0.0011785415920754255;1.1785415920754256
158.0;0.0;0.0;-0.001186000716075903;1.186000716075903
159.0;0.0;0.0;-0.0011934598400763804;1.1934598400763805
160.0;0.0;0.0;-0.0012009189640768579;1.2009189640768578
161.0;0.0;0.0;-0.0012083780880773353;1.2083780880773354
162.0;0.0;0.0;-0.0012158372120778128;1.2158372120778127
163.0;0.0;0.0;-0.0012232963360782902;1.2232963360782902
164.0;0.0;0.0;-0.0012307554600787677;1.2307554600787676
165.0;0.0;0.0;-0.001238214584079245;1.2382145840792451
166.0;0.0;0.0;-0.0012456737080797226;1.2456737080797224
167.0;0.0;0.0;-0.0012531328320802;1.2531328320802
168.0;0.0;0.0;-0.0012605919560806774;1.2605919560806775
169.0;0.0;0.0;-0.0012680510800811549;1.2680510800811549
170.0;0.0;0.0;-0.0012755102040816323;1.2755102040816324
171.0;0.0;0.0;-0.0012829693280821098;1.2829693280821097
172.0;0.0;0.0;-0.0012904284520825872;1.2904284520825873
173.0;0.0;0.0;-0.0012978875760830647;1.2978875760830646
174.0;0.0;0.0;-0.0013053467000835421;1.3053467000835421
175.0;0.0;0.0;-0.0013128058240840196;1.3128058240840195
176.0;0.0;0.0;-0.001320264948084497;1.320264948084497
177.0;0.0;0.0;-0.0013277240720849745;1.3277240720849746
178.0;0.04999583020598783;0.0;-0.001335183196085452;1.3351831960854519
179.0;0.09999166041197566;0.0;-0.0013426423200859293;1.3426423200859294
180.0;0.14998749061796346;13.334582708375036;-0.0013501025492453614;1.3501025492453613
181.0;0.19998332082395132;38.76584692197101;-0.0013575648861264963;1.3575648861264964
182.0;0.24997915102993915;75.42430728760709;-0.0013650302612298704;1.3650302612298704
183.0;0.2999749812359269;123.77134870048941;-0.0013724996432952106;1.3724996432952106
184.0;0.3499708114419148;184.28234818730644;-0.0013799740404610906;1.3799740404610905
185.0;0.39996664164790263;257.4466749062286;-0.001387454501424586;1.387454501424586
186.0;0.4499624718538904;343.7676901469086;-0.001394942116600932;1.394942116600932
187.0;0.4999583020598783;443.76274733048183;-0.0014024380192831775;1.4024380192831776
188.0;0.5499541322658661;557.963192009565;-0.0014099433868018426;1.4099433868018425
189.0;0.5999499624718538;686.9143618682575;-0.0014174594416845742;1.417459441684574
190.0;0.6499457926778418;831.1755867221422;-0.001424987452815802;1.424987452815802
191.0;0.6999416228838296;991.3201885182812;-0.001432528736596394;1.4325287365963941
192.0;0.7499374530898174;1167.9354813352215;-0.0014400846581033141;1.4400846581033142
193.0;0.7999332832958053;1361.6227713829915;-0.0014476566322492762;1.4476566322492763
194.0;0.8499291135017931;1572.9973570031018;-0.0014552461249424016;1.4552461249424016
195.0;0.8999249437077808;1802.6885286685435;-0.0014628546542458743;1.4628546542458742
196.0;0.9499207739137687;2051.3395689837944;-0.0014704837915375977;1.4704837915375977
197.0;0.9999166041197566;2319.60775268481;-0.00147813516266985;1.47813516266985
198.0;1.0499124343257442;2608.164346639028;-0.0014858104491289408;1.4858104491289408
199.0;1.0999082645317322;2917.6946098453736;-0.0014935113891948665;1.4935113891948666
200.0;1.14990409473772;3248.897793434249;-0.0015012397791009673;1.5012397791009673
201.0;1.1998999249437077;3602.4871406675384;-0.001508997474193582;1.5089974741935819
202.0;1.2498957551496956;3979.189886938614;-0.001516786390091705;1.5167863900917051
203.0;1.2998915853556836;4379.747259772324;-0.0015246085038466424;1.5246085038466424
204.0;1.3498874155616714;4804.914478825;-0.001532465855101667;1.532465855101667
205.0;1.399883245767659;5255.460755884457;-0.0015403605472516753;1.5403605472516753
206.0;1.449879075973647;5732.1692948699965;-0.0015482947486028435;1.5482947486028436
207.0;1.4998749061796348;6235.83729183239;-0.0015562706935322828;1.5562706935322828
208.0;1.5498707363856226;6767.2759349539065;-0.0015642906836476965;1.5642906836476964
209.0;1.5998665665916105;7327.310404548287;-0.0015723570889470352;1.5723570889470353
210.0;1.649862396797598;7916.77987306075;-0.001580472348978153;1.5804723489781531
211.0;1.6998582270035862;8536.537505068025;-0.0015886389739984642;1.588638973998464
212.0;1.749854057209574;9187.450457278275;-0.001596859546134598;1.596859546134598
213.0;1.7998498874155615;9870.39987853119;-0.001605136720542056;1.605136720542056
214.0;1.8498457176215497;10586.280909797928;-0.0016134732265648674;1.6134732265648675
215.0;1.8998415478275374;11336.002684181112;-0.0016218718688952452;1.6218718688952452
216.0;1.949837378033525;12120.488326914865;-0.0016303355287332426;1.6303355287332426
217.0;1.9998332082395132;12940.6749553648;-0.0016388671649464083;1.6388671649464084
218.0;2.049829038445501;13797.513679027987;-0.001647469815229443;1.647469815229443
219.0;2.0998248686514884;14691.969599532995;-0.0016561465972638554;1.6561465972638554
220.0;2.1498206988574764;15625.021810639882;-0.0016649007098776187;1.6649007098776187
221.0;2.1998165290634644;16597.66339824017;-0.0016737354342048255;1.6737354342048254
222.0;2.249812359269452;17610.901440356865;-0.0016826541348453452;1.6826541348453452
223.0;2.29980818947544;18665.75700714448;-0.001691660261024479;1.6916602610244789
224.0;2.349804019681428;19763.265160888976;-0.0017007573477526162;1.700757347752616
225.0;2.3997998498874153;20904.47495600781;-0.0017099490169848906;1.7099490169848905
226.0;2.4497956800934038;22090.449439049953;-0.0017192389787808362;1.7192389787808362
227.0;2.4997915102993913;23322.265648695782;-0.0017286310324640436;1.7286310324640437
228.0;2.5497873405053793;24601.01461575724;-0.0017381290677818152;1.7381290677818153
229.0;2.599783170711367;25927.80136317771;-0.0017477370660648225;1.7477370660648226
230.0;2.6497790009173547;27303.744906032036;-0.001757459101386761;1.757459101386761
231.0;2.6997748311233427;28729.9782515266;-0.001767299341724007;1.7672993417240068
232.0;2.7497706613293307;30207.648398999234;-0.0017772620501152728;1.7772620501152727
233.0;2.799766491535318;31737.916339919226;-0.0017873515858212639;1.7873515858212639
234.0;2.849762321741306;33321.95705788742;-0.0017975724054843341;1.797572405484334
235.0;2.899758151947294;34960.95952863606;-0.0018079290642881423;1.8079290642881423
236.0;2.9497539821532817;36656.126720028915;-0.0018184262171173076;1.8184262171173076
237.0;2.9997498123592696;38408.67559206126;-0.001829068619717066;1.829068619717066
238.0;3.0497456425652576;40219.8370968598;-0.0018398611298529265;1.8398611298529266
239.0;3.099741472771245;42090.856178682734;-0.0018508087084703267;1.8508087084703266
240.0;3.149737302977233;44022.991773919784;-0.0018619164208542893;1.8619164208542893
241.0;3.199733133183221;46017.51681109211;-0.0018731894377890777;1.8731894377890776
242.0;3.249728963389209;48075.71821085235;-0.0018846330367178524;1.8846330367178523
243.0;3.299724793595196;50198.896885984635;-0.001896252602902327;1.896252602902327
244.0;3.3497206238011845;52388.367741404676;-0.0019080536305824238;1.9080536305824238
245.0;3.3997164540071725;54645.4596741595;-0.0019200417241359306;1.9200417241359307
246.0;3.4497122842131596;56971.51557342765;-0.001932222599238156;1.932222599238156
247.0;3.499708114419148;59367.89232051931;-0.001944602084021586;1.944602084021586
248.0;3.549703944625136;61835.96078887597;-0.00195718612023554;1.9571861202355398
249.0;3.599699774831123;64377.1058440706;-0.001969980764405826;1.969980764405826
250.0;3.6496956050371114;66992.72634380785;-0.001982992188994398;1.982992188994398
251.0;3.6996914352430994;69684.23513792362;-0.001996226683559011;1.9962266835590108
252.0;3.7496872654490865;72453.05906838537;-0.002009690655912877;2.0096906559128773
253.0;3.799683095655075;75300.63896929217;-0.0020233906332843225;2.0233906332843223
254.0;3.849678925861063;78228.42966687436;-0.0020373332634764426;2.0373332634764427
255.0;3.89967475606705;81237.89997949387;-0.002051525316026758;2.051525316026758
256.0;3.9496705862730384;84330.53271764422;-0.002065973683366871;2.065973683366871
257.0;3.9996664164790263;87507.8246839502;-0.002080685381982122;2.080685381982122
258.0;4.049662246685013;90771.28667316816;-0.0020956675535712442;2.095667553571244
259.0;4.099658076891002;94122.44347218606;-0.002110927466206021;2.110927466206021
260.0;4.149653907096989;97562.8338600231;-0.0021264725154909415;2.1264725154909416
261.0;4.199649737302977;101094.0106078302;-0.0021423102257228563;2.142310225722856
262.0;4.249645567508965;104717.54047888971;-0.002158448251050634;2.158448251050634
263.0;4.299641397714953;108435.00422861527;-0.0021748943766348172;2.174894376634817
264.0;4.34963722792094;112247.9966045522;-0.002191656519807278;2.191656519807278
265.0;4.399633058126929;116158.12634637732;-0.002208742731230875;2.208742731230875
266.0;4.449628888332916;120167.01618589877;-0.0022261611960591077;2.226161196059108
267.0;4.499624718538904;124276.30284705627;-0.002243920235095775;2.243920235095775
268.0;4.549620548744892;128487.63704592112;-0.0022620283059546285;2.2620283059546287
269.0;4.59961637895088;132802.68349069584;-0.002280494004219031;2.280494004219031
270.0;4.649612209156867;137223.12088171468;-0.002299326064601611;2.299326064601611
271.0;4.699608039362856;141750.64191144332;-0.0023185333621039187;2.318533362103919
272.0;4.749603869568843;146386.95326447877;-0.002338124913176083;2.338124913176083
273.0;4.799599699774831;151133.7756175497;-0.0023581098768764674;2.3581098768764672
274.0;4.849595529980819;155992.84363951627;-0.002378497556031325;2.378497556031325
275.0;4.8995913601868075;160965.90599136997;-0.0023992973983944558;2.399297398394456
276.0;4.949587190392795;166054.72532623375;-0.002420518997806862;2.420518997806862
277.0;4.999583020598783;171261.0782893623;-0.002442172095356404;2.442172095356404
278.0;5.049578850804771;176586.75551814164;-0.002464266580537457;2.464266580537457
279.0;5.0995746810107585;182033.56164208913;-0.0024868124924105665;2.4868124924105666
280.0;5.149570511216746;187603.3152828539;-0.0025098200207621046;2.5098200207621044
281.0;5.199566341422734;193297.84905421635;-0.002533299507263926;2.533299507263926
282.0;5.249562171628722;199119.00956208835;-0.002557261446633024;2.557261446633024
283.0;5.2995580018347095;205068.65740451345;-0.0025817164877911867;2.5817164877911867
284.0;5.349553832040698;211148.66717166663;-0.0026066754350246527;2.606675435024653
285.0;5.399549662246685;217360.927445854;-0.002632149249143768;2.632149249143768
286.0;5.449545492452673;223707.34080151364;-0.00265814904864264;2.65814904864264
287.0;5.499541322658661;230189.82380521495;-0.002684686110858797;2.684686110858797
288.0;5.549537152864649;236810.3070156586;-0.00271177187313284;2.71177187313284
289.0;5.599532983070636;243570.73498367696;-0.0027394179339681026;2.7394179339681024
290.0;5.649528813276625;250473.06625223404;-0.0027676360541903046;2.7676360541903047
291.0;5.699524643482612;257519.27335642485;-0.002796438158107209;2.796438158107209
292.0;5.7495204736886;264711.3428234762;-0.002825836334668277;2.825836334668277
293.0;5.799516303894588;272051.27517274657;-0.0028558428386243266;2.8558428386243264
294.0;5.849512134100576;279541.08491572534;-0.002886470091687186;2.886470091687186
295.0;5.899507964306563;287182.80055603397;-0.0029177306836893502;2.91773068368935
296.0;5.949503794512552;294978.46458942525;-0.002949637373743638;2.9496373737436383
297.0;5.999499624718539;302930.133503783;-0.0029822030914028476;2.9822030914028477
298.0;6.049495454924527;311039.87777912314;-0.003015440937819412;3.015440937819412
299.0;6.099491285130515;319309.7818875929;-0.0030493641869050554;3.049364186905055
300.0;6.149487115336503;327741.94429347065;-0.00308398628649045;3.08398628649045
301.0;6.19948294554249;336338.4774531666;-0.003119320859484871;3.119320859484871
