;temps (s);speed (m/s);power_shaft (W);fuel_cumul (m^3)
160;33915.0;0.0;0.0;-0.0012009189640768579
161;33915.0;0.0;0.0;-0.0012083780880773353
162;33915.0;0.0;0.0;-0.0012158372120778128
163;33915.0;0.0;0.0;-0.0012232963360782902
164;33915.0;0.0;0.0;-0.0012307554600787677
165;33915.0;0.0;0.0;-0.001238214584079245
166;33915.0;0.0;0.0;-0.0012456737080797226
167;33915.0;0.0;0.0;-0.0012531328320802
168;33915.0;0.0;0.0;-0.0012605919560806774
169;33915.0;0.0;0.0;-0.0012680510800811549
170;33915.0;0.0;0.0;-0.0012755102040816323
171;33915.0;0.0;0.0;-0.0012829693280821098
172;33915.0;0.0;0.0;-0.0012904284520825872
173;33915.0;0.0;0.0;-0.0012978875760830647
174;33915.0;0.0;0.0;-0.0013053467000835421
175;33915.0;0.0;0.0;-0.0013128058240840196
176;33915.0;0.0;0.0;-0.001320264948084497
177;33915.0;0.0;0.0;-0.0013277240720849745
178;33915.0;0.04999583020598783;0.0;-0.001335183196085452
179;33915.0;0.09999166041197566;0.0;-0.0013426423200859293
180;33915.0;0.14998749061796346;13.334582708375036;-0.0013501025492453614
181;33915.0;0.19998332082395132;38.76584692197101;-0.0013575648861264963
182;33915.0;0.24997915102993915;75.42430728760709;-0.0013650302612298704
183;33915.0;0.2999749812359269;123.77134870048941;-0.0013724996432952106
184;33915.0;0.3499708114419148;184.28234818730644;-0.0013799740404610906
185;33915.0;0.39996664164790263;257.4466749062286;-0.001387454501424586
186;33915.0;0.4499624718538904;343.7676901469086;-0.001394942116600932
187;33915.0;0.4999583020598783;443.76274733048183;-0.0014024380192831775
188;33915.0;0.5499541322658661;557.963192009565;-0.0014099433868018426
189;33915.0;0.5999499624718538;686.9143618682575;-0.0014174594416845742
190;33915.0;0.6499457926778418;831.1755867221422;-0.001424987452815802
191;33915.0;0.6999416228838296;991.3201885182812;-0.001432528736596394
192;33915.0;0.7499374530898174;1167.9354813352215;-0.0014400846581033141
193;33915.0;0.7999332832958053;1361.6227713829915;-0.0014476566322492762
194;33915.0;0.8499291135017931;1572.9973570031018;-0.0014552461249424016
195;33915.0;0.8999249437077808;1802.6885286685435;-0.0014628546542458743
196;33915.0;0.9499207739137687;2051.3395689837944;-0.0014704837915375977
197;33915.0;0.9999166041197566;2319.60775268481;-0.00147813516266985
198;33915.0;1.0499124343257442;2608.164346639028;-0.0014858104491289408
199;33915.0;1.0999082645317322;2917.6946098453736;-0.0014935113891948665
200;33915.0;1.14990409473772;3248.897793434249;-0.0015012397791009673
201;33915.0;1.1998999249437077;3602.4871406675384;-0.001508997474193582
202;33915.0;1.2498957551496956;3979.189886938614;-0.001516786390091705
203;33915.0;1.2998915853556836;4379.747259772324;-0.0015246085038466424
204;33915.0;1.3498874155616714;4804.914478825;-0.001532465855101667
205;33915.0;1.399883245767659;5255.460755884457;-0.0015403605472516753
206;33915.0;1.449879075973647;5732.1692948699965;-0.0015482947486028435
207;33915.0;1.4998749061796348;6235.83729183239;-0.0015562706935322828
208;33915.0;1.5498707363856226;6767.2759349539065;-0.0015642906836476965
209;33915.0;1.5998665665916105;7327.310404548287;-0.0015723570889470352
210;33915.0;1.649862396797598;7916.77987306075;-0.001580472348978153
211;33915.0;1.6998582270035862;8536.537505068025;-0.0015886389739984642
212;33915.0;1.749854057209574;9187.450457278275;-0.001596859546134598
213;33915.0;1.7998498874155615;9870.39987853119;-0.001605136720542056
214;33915.0;1.8498457176215497;10586.280909797928;-0.0016134732265648674
215;33915.0;1.8998415478275374;11336.002684181112;-0.0016218718688952452
216;33915.0;1.949837378033525;12120.488326914865;-0.0016303355287332426
217;33915.0;1.9998332082395132;12940.6749553648;-0.0016388671649464083
218;33915.0;2.049829038445501;13797.513679027987;-0.001647469815229443
219;33915.0;2.0998248686514884;14691.969599532995;-0.0016561465972638554
220;33915.0;2.1498206988574764;15625.021810639882;-0.0016649007098776187
221;33915.0;2.1998165290634644;16597.66339824017;-0.0016737354342048255
222;33915.0;2.249812359269452;17610.901440356865;-0.0016826541348453452
223;33915.0;2.29980818947544;18665.75700714448;-0.001691660261024479
