time_s;profile_speed_m_per_s;converter_motor_out_W;storage_fuel_tank_v_stock_l
17555.0;7.0;498151.19200000004;319.4902403121714
17556.0;7.0;498151.19200000004;319.4422365217908
17557.0;7.0;498151.19200000004;319.39423273141
17558.0;7.0;498151.19200000004;319.3462289410292
17559.0;7.0;498151.19200000004;319.29822515064853
17560.0;7.0;498151.19200000004;319.25022136026774
17561.0;7.0;498151.19200000004;319.20221756988695
17562.0;7.0;498151.19200000004;319.1542137795063
17563.0;7.0;498151.19200000004;319.10620998912555
17564.0;7.0;498151.19200000004;319.0582061987448
17565.0;7.0;498151.19200000004;319.010202408364
17566.0;7.0;498151.19200000004;318.96219861798335
17567.0;7.0;498151.19200000004;318.91419482760256
17568.0;7.0;498151.19200000004;318.8661910372218
17569.0;7.0;498151.19200000004;318.8181872468411
17570.0;7.0;498151.19200000004;318.77018345646036
17571.0;7.0;498151.19200000004;318.7221796660796
17572.0;7.0;498151.19200000004;318.67417587569884
17573.0;7.0;498151.19200000004;318.62617208531816
17574.0;7.0;498151.19200000004;318.5781682949374
17575.0;7.0;498151.19200000004;318.53016450455664
17576.0;7.0;498151.19200000004;318.4821607141759
17577.0;7.0;498151.19200000004;318.4341569237952
17578.0;7.0;498151.19200000004;318.38615313341444
17579.0;7.0;498151.19200000004;318.33814934303365
17580.0;7.0;498151.19200000004;318.29014555265303
17581.0;7.0;498151.19200000004;318.24214176227224
17582.0;7.0;498151.19200000004;318.19413797189145
17583.0;7.0;498151.19200000004;318.1461341815107
17584.0;7.0;498151.19200000004;318.09813039113
17585.0;7.0;498151.19200000004;318.0501266007492
17586.0;7.0;498151.19200000004;318.0021228103685
17587.0;7.0;498151.19200000004;317.9541190199878
17588.0;7.0;498151.19200000004;317.90611522960705
17589.0;7.0;498151.19200000004;317.85811143922626
17590.0;7.0;498151.19200000004;317.8101076488455
17591.0;7.0;498151.19200000004;317.7621038584648
17592.0;7.0;498151.19200000004;317.71410006808406
17593.0;7.0;498151.19200000004;317.66609627770333
17594.0;7.0;498151.19200000004;317.6180924873226
17595.0;7.0;498151.19200000004;317.57008869694187
17596.0;7.0;498151.19200000004;317.5220849065611
17597.0;7.0;498151.19200000004;317.4740811161803
17598.0;7.0;498151.19200000004;317.4260773257996
17599.0;7.0;498151.19200000004;317.3780735354189
17600.0;7.0;498151.19200000004;317.33006974503814
17601.0;7.0;498151.19200000004;317.2820659546574
17602.0;7.0;498151.19200000004;317.2340621642767
17603.0;7.0;498151.19200000004;317.1860583738959
17604.0;7.0;498151.19200000004;317.13805458351516
17605.0;7.0;498151.19200000004;317.0900507931345
17606.0;7.0;498151.19200000004;317.0420470027537
17607.0;7.0;498151.19200000004;316.99404321237296
17608.0;7.0;498151.19200000004;316.9460394219922
17609.0;7.0;498151.19200000004;316.89803563161144
17610.0;7.0;498151.19200000004;316.8500318412307
17611.0;7.0;498151.19200000004;316.80202805085
17612.0;7.0;498151.19200000004;316.7540242604693
17613.0;7.0;498151.19200000004;316.7060204700885
17614.0;7.0;498151.19200000004;316.6580166797077
17615.0;7.0;498151.19200000004;316.61001288932704
17616.0;7.0;498151.19200000004;316.56200909894625
17617.0;7.0;498151.19200000004;316.5140053085656
17618.0;7.0;498151.19200000004;316.46600151818484
17619.0;7.0;498151.19200000004;316.4179977278041
17620.0;7.0;498151.19200000004;316.3699939374233
17621.0;7.0;498151.19200000004;316.3219901470425
17622.0;7.0;498151.19200000004;316.27398635666185
17623.0;7.0;498151.19200000004;316.2259825662811
17624.0;7.0;498151.19200000004;316.1779787759004
17625.0;7.0;498151.19200000004;316.12997498551965
17626.0;7.0;498151.19200000004;316.0819711951389
17627.0;7.0;498151.19200000004;316.03396740475813
17628.0;7.0;498151.19200000004;315.98596361437734
17629.0;7.0;498151.19200000004;315.9379598239967
17630.0;7.0;498151.19200000004;315.88995603361593
17631.0;7.0;498151.19200000004;315.8419522432352
17632.0;7.0;498151.19200000004;315.79394845285447
17633.0;7.0;498151.19200000004;315.7459446624737
17634.0;7.0;498151.19200000004;315.69794087209294
17635.0;7.0;498151.19200000004;315.6499370817122
17636.0;7.0;498151.19200000004;315.60193329133153
17637.0;7.0;498151.19200000004;315.55392950095074
17638.0;7.0;498151.19200000004;315.50592571056995
17639.0;7.0;498151.19200000004;315.4579219201893
17640.0;7.0;498151.19200000004;315.4099181298085
17641.0;7.0;498151.19200000004;315.3619143394278
17642.0;7.0;498151.19200000004;315.3139105490471
17643.0;7.0;498151.19200000004;315.26590675866635
17644.0;7.0;498151.19200000004;315.21790296828556
17645.0;7.0;498151.19200000004;315.16989917790477
17646.0;7.0;498151.19200000004;315.1218953875241
17647.0;7.0;498151.19200000004;315.0738915971433
17648.0;7.0;498151.19200000004;315.0258878067626
17649.0;7.0;498151.19200000004;314.9778840163819
17650.0;7.0;498151.19200000004;314.92988022600116
17651.0;7.0;498151.19200000004;314.88187643562037
17652.0;7.0;498151.19200000004;314.8338726452396
17653.0;7.0;498151.19200000004;314.7858688548589
17654.0;7.0;498151.19200000004;314.73786506447817
17655.0;7.0;498151.19200000004;314.68986127409744
17656.0;7.0;498151.19200000004;314.6418574837167
17657.0;7.0;498151.19200000004;314.5938536933359
17658.0;7.0;498151.19200000004;314.5458499029552
17659.0;7.0;498151.19200000004;314.4978461125744
17660.0;7.0;498151.19200000004;314.4498423221938
17661.0;7.0;498151.19200000004;314.401838531813
17662.0;7.0;498151.19200000004;314.3538347414322
17663.0;7.0;498151.19200000004;314.3058309510515
17664.0;7.0;498151.19200000004;314.25782716067073
17665.0;7.0;498151.19200000004;314.20982337029
17666.0;7.0;498151.19200000004;314.16181957990926
17667.0;7.0;498151.19200000004;314.1138157895286
17668.0;7.0;498151.19200000004;314.0658119991478
17669.0;7.0;498151.19200000004;314.017808208767
17670.0;7.0;498151.19200000004;313.96980441838633
17671.0;7.0;498151.19200000004;313.92180062800554
17672.0;7.0;498151.19200000004;313.87379683762487
17673.0;7.0;498151.19200000004;313.8257930472441
17674.0;7.0;498151.19200000004;313.7777892568634
17675.0;7.0;498151.19200000004;313.7297854664826
17676.0;7.0;498151.19200000004;313.6817816761018
17677.0;7.0;498151.19200000004;313.63377788572114
17678.0;7.0;498151.19200000004;313.5857740953404
17679.0;7.0;498151.19200000004;313.5377703049597
17680.0;7.0;498151.19200000004;313.4897665145789
17681.0;7.0;498151.19200000004;313.44176272419816
17682.0;7.0;498151.19200000004;313.3937589338174
17683.0;7.0;498151.19200000004;313.34575514343663
17684.0;7.0;498151.19200000004;313.297751353056
17685.0;7.0;498151.19200000004;313.2497475626752
17686.0;7.0;498151.19200000004;313.20174377229444
17687.0;7.0;498151.19200000004;313.15373998191376
17688.0;7.0;498151.19200000004;313.10573619153297
17689.0;7.0;498151.19200000004;313.05773240115224
17690.0;7.0;498151.19200000004;313.0097286107715
17691.0;7.0;498151.19200000004;312.9617248203908
17692.0;7.0;498151.19200000004;312.91372103001004
17693.0;7.0;498151.19200000004;312.86571723962925
17694.0;7.0;498151.19200000004;312.8177134492486
17695.0;7.0;498151.19200000004;312.7697096588678
17696.0;7.0;498151.19200000004;312.72170586848705
17697.0;7.0;498151.19200000004;312.6737020781063
17698.0;7.0;498151.19200000004;312.62569828772564
17699.0;7.0;498151.19200000004;312.57769449734485
17700.0;7.0;498151.19200000004;312.52969070696406
17701.0;7.0;498151.19200000004;312.4816869165834
17702.0;7.0;498151.19200000004;312.4336831262026
17703.0;7.0;498151.19200000004;312.3856793358219
17704.0;7.0;498151.19200000004;312.33767554544113
17705.0;7.0;498151.19200000004;312.2896717550604
